hour,wind_1,wind_2,wind_3,wind_4,wind_5,wind_6
0,0.2444,0.1328,0.2976,0.3374,0.2444,0.2362
1,0.2726,0.2125,0.3346,0.3521,0.3375,0.2626
2,0.3788,0.2345,0.3567,0.3273,0.3848,0.2947
3,0.3328,0.2576,0.393,0.5042,0.3328,0.2876
4,0.3768,0.2475,0.3772,0.4819,0.3786,0.279
5,0.4681,0.2405,0.3369,0.577,0.3579,0.2741
6,0.2407,0.2285,0.3458,0.7089,0.4463,0.2686
7,0.5701,0.191,0.319,0.659,0.2407,0.2585
8,0.4463,0.1187,0.2678,0.6269,0.5581,0.2418
9,0.3582,0.1215,0.2979,0.5528,0.5232,0.1737
10,0.2976,0.1334,0.2201,0.2249,0.3999,0.151
11,0.1934,0.1073,0.2325,0.1913,0.3582,0.1515
12,0.2139,0.1042,0.2253,0.2704,0.3185,0.1632
13,0.363,0.1697,0.2676,0.2738,0.3203,0.1442
14,0.1677,0.2091,0.2651,0.3788,0.2064,0.1358
15,0.2794,0.2101,0.3638,0.5415,0.2139,0.1342
16,0.2527,0.1474,0.3431,0.429,0.3916,0.1664
17,0.1596,0.1652,0.3087,0.4153,0.2093,0.2102
18,0.1607,0.1563,0.3038,0.3832,0.1968,0.2702
19,0.1434,0.1078,0.2309,0.2354,0.2794,0.2401
20,0.0938,0.0582,0.1807,0.2202,0.2471,0.1708
21,0.0923,0.0373,0.1563,0.1304,0.2255,0.2096
22,0.122,0.0531,0.1613,0.1538,0.1551,0.1922
23,0.0798,0.0924,0.1993,0.2116,0.4232,0.2418
